iter	RMSE
188	0.7194821169
189	0.7177626112
190	0.713491104
191	0.7118653309
192	0.710278552
193	0.7085832175
194	0.7068514235
195	0.7050912659
196	0.7035503473
197	0.7019296492
198	0.7004142415
199	0.6986921078
200	0.6970444443
201	0.6936828366
202	0.6920530395
203	0.6905174635
204	0.6890002946
205	0.6872400998
206	0.6854611393
207	0.6838172776
208	0.6822036494
209	0.6807202683
210	0.6792632346
211	0.6777019178
212	0.6761056425
213	0.6745705985
214	0.6730674054
215	0.6715028646
216	0.6699659909
217	0.6684661939
218	0.6667891192
219	0.6653475356
220	0.6638718732
221	0.6623212212
222	0.6608751425
223	0.6594036286
224	0.6580209015
225	0.6566521232
226	0.6530149605
227	0.6517049193
228	0.6503096149
229	0.6489423577
230	0.6476350458
231	0.6461676159
232	0.6448543336
233	0.6433423803
234	0.6419329211
235	0.6407082588
236	0.6393421016
237	0.6379112058
238	0.6365999913
239	0.6352802863
240	0.6339973225
241	0.6326235367
242	0.6314518077
243	0.6282191132
244	0.6269475399
245	0.6256434223
246	0.6242524424
247	0.6229018253
248	0.6215604631
249	0.6202077203
250	0.6189454522
251	0.6176851085
252	0.6146221828
253	0.613414776
254	0.6121697964
255	0.6108845858
256	0.609709164
257	0.608406761
258	0.607306228
259	0.6061394298
260	0.6048337439
261	0.6034612908
262	0.6021801625
263	0.6009467482
264	0.5997140843
265	0.5985155173
266	0.5972563559
267	0.5962283639
268	0.5950946015
269	0.5938756186
270	0.5927996139
271	0.5916936959
272	0.590600618
273	0.5895093387
274	0.5882891696
275	0.5871673805
276	0.5862439855
277	0.585273068
278	0.5842135252
279	0.5831092135
280	0.5819929751
281	0.5809221379
282	0.5798643296
283	0.5787885372
284	0.577647021
285	0.5766866389
286	0.5750817297
287	0.5739904098
288	0.5730057087
289	0.5718096553
290	0.5708795064
291	0.5698209857
292	0.5688027379
293	0.5677188013
294	0.5667984128
295	0.5656652301
296	0.5646953201
297	0.5636509244
298	0.5627225082
299	0.5617507546
300	0.5607183976
301	0.5596923173
302	0.5585772671
303	0.5576466639
304	0.5566519233
305	0.5558033666
306	0.5547353041
307	0.553788409
308	0.5528325967
309	0.5502160517
310	0.5491162137
311	0.5480777406
312	0.5471973148
313	0.546234199
314	0.5452638018
315	0.5443521715
316	0.5434245214
317	0.5425852462
318	0.5417063616
319	0.5408452497
320	0.5400690072
321	0.5392166885
322	0.5383137434
323	0.5373863933
324	0.5363658489
325	0.5354612132
326	0.5345606911
327	0.5337155531
328	0.532884234
329	0.5319278679
330	0.5310269366
331	0.5300089068
332	0.5292129979
333	0.5284829046
334	0.5275469388
335	0.5266267041
336	0.5258219612
337	0.5238863478
338	0.5230561655
339	0.5222085163
340	0.5214635514
341	0.5206747591
342	0.5199719304
343	0.519262219
344	0.5183347984
345	0.5174145636
346	0.5165863937
347	0.5158674431
348	0.514975187
349	0.5141978637
350	0.5135613927
351	0.5129172519
352	0.5121593256
353	0.5114660316
354	0.5107003935
355	0.5100181022
356	0.5078056792
357	0.5069466429
358	0.5061439295
359	0.5053883833
360	0.504621338
361	0.5037270284
362	0.5028654852
363	0.5017212213
364	0.5009273908
365	0.5002288547
366	0.4995466172
367	0.4988245718
368	0.4981564
369	0.4973521893
370	0.4966404888
371	0.4959634436
372	0.4951088557
373	0.4944884667
374	0.4937362781
375	0.4929869785
376	0.4922712746
377	0.4915991314
378	0.4908192209
379	0.4900366814
380	0.4892855717
381	0.4886397849
382	0.4879497072
383	0.4872808639
384	0.4865613931
385	0.4857425775
386	0.4838782544
387	0.4831551979
388	0.4824958297
389	0.4817812717
390	0.4811034002
391	0.4803650284
392	0.4795743306
393	0.4789036767
394	0.4782379492
395	0.4775195503
396	0.4768245007
397	0.4762263785
398	0.4755515039
399	0.4750763629
400	0.4744328395
401	0.4738234891
402	0.473110149
403	0.4724858221
404	0.471579815
405	0.4709627456
406	0.4704191991
407	0.4698715949
408	0.4692381627
409	0.4685248277
410	0.4679232293
411	0.4672199545
412	0.4666698274
413	0.4661012775
414	0.4653879879
415	0.4648002061
416	0.4640827548
417	0.4634053492
418	0.4627577667
419	0.462170244
420	0.4616096229
421	0.4600338381
422	0.459420252
423	0.4587630263
424	0.4581442927
425	0.4575725718
426	0.4570448296
427	0.4563803084
428	0.4558531345
429	0.4551933698
430	0.4546000629
431	0.4540301134
432	0.4535156731
433	0.452944188
434	0.4524153667
435	0.451841169
436	0.4512171153
437	0.4506788103
438	0.4501269651
439	0.4496125433
440	0.4490582866
441	0.448512106
442	0.4480054855
443	0.4474577405
444	0.4468692515
445	0.4463119749
446	0.4457966037
447	0.4453281975
448	0.4448605466
449	0.4443791965
450	0.4438779042
451	0.4433368688
452	0.4427943616
453	0.4422833838
454	0.441798914
455	0.4412166712
456	0.4405739072
457	0.4399357955
458	0.4394256786
459	0.4387787396
460	0.4382701633
461	0.4377003095
462	0.437128155
463	0.4365508122
464	0.4357426104
465	0.4346647507
466	0.4341609968
467	0.4334084009
468	0.4329294136
469	0.4323645487
470	0.4319097953
471	0.4314411726
472	0.4308482227
473	0.430318344
474	0.4297972646
475	0.4292588614
476	0.4288626842
477	0.4283331907
478	0.4273855401
479	0.4269491572
480	0.4263608096
481	0.4258633603
482	0.425382995
483	0.4249298403
484	0.4244817078
485	0.4239787081
486	0.4234597446
487	0.4229793944
488	0.4225367542
489	0.4221059664
490	0.4216833443
491	0.4212831014
492	0.4207833658
493	0.4202901589
494	0.4198857427
495	0.4193654601
496	0.4188739589
497	0.4184151706
498	0.4179750003
499	0.4175639871
500	0.4164547224
501	0.41594577
502	0.415493945
503	0.4150225769
504	0.4146154452
505	0.4141752687
506	0.4137428255
507	0.4132689439
508	0.4128272601
509	0.4124157579
510	0.4120340593
511	0.4116491196
512	0.4112230583
513	0.4102535271
514	0.4098959408
515	0.4095344803
516	0.4090710942
517	0.4086832987
518	0.4083463161
519	0.4079234735
520	0.4074980035
521	0.4071070404
522	0.4067442986
523	0.4062469073
524	0.4059010323
525	0.4054141819
526	0.4048715221
527	0.4044207285
528	0.40401256
529	0.403569479
530	0.4031843781
531	0.4026605134
532	0.4022424864
533	0.4017741383
534	0.4014132183
535	0.4010987241
536	0.4007086357
537	0.400356371
538	0.3999111612
539	0.3994800287
540	0.3990724772
541	0.398765817
542	0.3983644355
543	0.3980490797
544	0.397642228
545	0.3971963741
546	0.3967922856
547	0.3964030171
548	0.3960739569
549	0.3957284453
550	0.395346969
551	0.394853603
552	0.3944646565
553	0.3941036241
554	0.3936948242
555	0.3933476804
556	0.392975648
557	0.3926146752
558	0.3922972856
559	0.3919007738
560	0.3915860886
561	0.3912766385
562	0.3906030379
563	0.3901475849
564	0.3898153048
565	0.3894216791
566	0.389030512
567	0.3886220788
568	0.3881832744
569	0.3878454224
570	0.3875165572
571	0.3871813595
572	0.3867693364
573	0.3863286649
574	0.3859831624
575	0.3853675962
576	0.385081426
577	0.3847537869
578	0.3843514591
579	0.3839553875
580	0.3836266279
581	0.3833021366
582	0.3829067473
583	0.382415774
584	0.3819387585
585	0.3815905089
586	0.381204454
587	0.3809078148
588	0.3805764635
589	0.3801221384
590	0.379795223
591	0.3794247756
592	0.379066961
593	0.3787312658
594	0.3784162747
595	0.3780591477
596	0.3777689909
597	0.377485352
598	0.3771446042
599	0.376749086
600	0.3763747172
601	0.3759562226
602	0.3756528442
603	0.3753610993
604	0.3750636198
605	0.3746991658
606	0.3743660836
607	0.3741097085
608	0.3737895325
609	0.3734181235
610	0.373138563
611	0.3727917296
612	0.3725010187
613	0.3721982234
614	0.3718639418
615	0.3715046383
616	0.3711230822
617	0.3708336514
618	0.3704974678
619	0.3698128089
620	0.3694318468
621	0.3691058424
622	0.3687253213
623	0.3684022275
624	0.3681397779
625	0.367837631
626	0.3675200941
627	0.3672608338
628	0.3669459764
629	0.3665563308
630	0.3662676563
631	0.3660208842
632	0.3656722677
633	0.3653970618
634	0.3651262979
635	0.3647368765
636	0.364372507
637	0.3640352413
638	0.3637148834
639	0.3633599916
640	0.3630159874
641	0.3626518801
642	0.3623646912
643	0.3620733821
644	0.3617461327
645	0.3613563721
646	0.3610543426
647	0.3607052228
648	0.3603117278
649	0.3600443573
650	0.3598469521
651	0.3595223084
652	0.3592094895
653	0.3588672269
654	0.3585777791
655	0.3583428837
656	0.35800294
657	0.3578011647
658	0.3575077121
659	0.3572388528
660	0.3569499957
661	0.3565899309
662	0.3562260815
663	0.3559242496
664	0.3556352837
665	0.3553691421
666	0.3551696463
667	0.3549166574
668	0.354641732
669	0.3543740417
670	0.3540872287
671	0.3537572733
672	0.3534888767
673	0.3529491512
674	0.3526485097
675	0.3522266242
676	0.351921363
677	0.35171845
678	0.3513715739
679	0.3511494737
680	0.3508620121
681	0.3505383626
682	0.3502968676
683	0.3499476464
684	0.3497312696
685	0.3495016368
686	0.349258983
687	0.3489659991
688	0.3487086991
689	0.3484431428
690	0.3481019381
691	0.3477828718
692	0.3472219741
693	0.3469917585
694	0.3466855247
695	0.3463648619
696	0.3460602258
697	0.3457549099
698	0.3455296403
699	0.3452673822
700	0.3449136722
701	0.34468594
702	0.34435957
703	0.344065283
704	0.3437638235
705	0.3435130717
706	0.3432269344
707	0.3429883678
708	0.3427096678
709	0.3424573433
710	0.3422082284
711	0.3419898137
712	0.3417727736
713	0.3415210564
714	0.3412527782
715	0.3409602689
716	0.3406376494
717	0.3403623417
718	0.3400772893
719	0.3398333746
720	0.3395948237
721	0.3393729395
722	0.3391004939
723	0.3388358145
724	0.3385937834
725	0.3382891178
726	0.3380297463
727	0.3377614615
728	0.3375490904
729	0.3373450628
730	0.3370927657
731	0.3368666663
732	0.3366446868
733	0.3363618113
734	0.3361190115
735	0.3358680655
736	0.3356484594
737	0.3354081935
738	0.3351979924
739	0.3349250026
740	0.3346751049
741	0.334326949
742	0.3341120678
743	0.3338623842
744	0.3336047414
745	0.333394669
746	0.3330723304
747	0.3328654708
748	0.3326328781
749	0.3322666516
750	0.3320379935
751	0.3317961305
752	0.3315299088
753	0.3312320296
754	0.3310067354
755	0.3307430597
756	0.3305011178
757	0.3300448527
758	0.3297911827
759	0.3295177764
760	0.3293097855
761	0.3290476461
762	0.328802988
763	0.3285260442
764	0.3283016308
765	0.3280348781
766	0.3277958781
767	0.3275332624
768	0.3272978873
769	0.3270870775
770	0.3268124207
771	0.3265491148
772	0.3263190921
773	0.3261583068
774	0.3259798724
775	0.3258142322
776	0.325512786
777	0.3253219912
778	0.3251106345
779	0.3249440479
780	0.3247321015
781	0.3244984816
782	0.324235549
783	0.3240999521
784	0.3239106596
785	0.3236716824
786	0.3233949007
787	0.3232296384
788	0.3230212686
789	0.3227771396
790	0.3225142406
791	0.322288547
792	0.3220689901
793	0.3218389467
794	0.3216186083
795	0.3213409158
796	0.3209057774
797	0.3206598525
798	0.3204616604
799	0.3202131623
800	0.3200280825
801	0.3198003893
802	0.3195462444
803	0.3192820173
804	0.3190938654
805	0.3188181258
806	0.3185839006
807	0.3182052218
808	0.3180343926
809	0.3177900421
810	0.3175309115
811	0.3172877077
812	0.3170739838
813	0.3168436065
814	0.3166506754
815	0.3164673101
816	0.3162859054
817	0.3159289052
818	0.3157293667
819	0.3155027532
820	0.3152960965
821	0.3150813993
822	0.3147953745
823	0.3145483109
824	0.3142967702
825	0.3141038268
826	0.3138584647
827	0.3136424297
828	0.3134486142
829	0.3132470607
830	0.3129989841
831	0.3127902289
832	0.3125591457
833	0.3123790172
834	0.3122026501
835	0.3120460681
836	0.3117576324
837	0.3115697171
838	0.3113575562
839	0.3111131347
840	0.3109328135
841	0.3107583723
842	0.3105398329
843	0.3103404845
844	0.3101428583
845	0.3099031561
846	0.3097446064
847	0.3095084625
848	0.3093162625
849	0.3091294511
850	0.3088577174
851	0.3087062828
852	0.3085292745
853	0.3082662452
854	0.3079950338
855	0.307853627
856	0.3076642014
857	0.3074747128
858	0.3072720233
859	0.3070184484
860	0.3067375854
861	0.3065222439
862	0.3062518568
863	0.3060166549
864	0.3057906175
865	0.3055769532
866	0.3054399631
867	0.3052228378
868	0.3050046324
869	0.3048082469
870	0.3046561833
871	0.3045257451
872	0.3043690589
873	0.3042173899
874	0.3040179383
875	0.303818645
876	0.3036094642
877	0.3033864309
878	0.3031973787
879	0.3029994301
880	0.3028182663
881	0.30261764
882	0.3024582851
883	0.3022506747
884	0.3020712932
885	0.3018386397
886	0.3016046948
887	0.301397553
888	0.3011832162
889	0.3009702465
890	0.3007597957
891	0.300597152
892	0.3004141708
893	0.30025779
894	0.3000481186
895	0.29985573
896	0.2996306869
897	0.2993933858
898	0.2991776712
899	0.2989489306
900	0.298771753
901	0.2986113136
902	0.2984025452
903	0.2982192845
904	0.298028154
905	0.2978480684
906	0.2976421683
907	0.2975042039
908	0.2972958401
909	0.2970546329
910	0.2968270012
911	0.2965995445
912	0.2963833139
913	0.2961825338
914	0.2959999674
915	0.2958204374
916	0.2956311859
917	0.2954337637
918	0.2952661127
919	0.2950363535
920	0.2948167755
921	0.2946780871
922	0.2944838362
923	0.2943019571
924	0.2941123903
925	0.2939483078
926	0.2937852534
927	0.293547975
928	0.2933743385
929	0.2931592909
930	0.2930172448
931	0.2928294786
932	0.2926756549
933	0.2925137052
934	0.2923648412
935	0.2921585664
936	0.2919038491
937	0.2917273868
938	0.2915676875
939	0.2913857476
940	0.2912124492
941	0.2910588238
942	0.2909295868
943	0.2907319265
944	0.2905796447
945	0.2903545232
946	0.290120758
947	0.2899513587
948	0.2897890012
949	0.289608907
950	0.2894516656
951	0.2892143765
952	0.289072199
953	0.2888567164
954	0.2887077826
955	0.2885427342
956	0.2883577434
957	0.2881711144
958	0.2879710677
959	0.2877579593
960	0.2876091954
961	0.2873344204
962	0.2871068972
963	0.2869959902
964	0.2868110606
965	0.2866290031
966	0.2864463532
967	0.2862923985
968	0.2860981754
969	0.2859516531
970	0.2857770263
971	0.2855515103
972	0.2853820559
973	0.2852439305
974	0.2851046541
975	0.2849046094
976	0.2847509863
977	0.2845601356
978	0.2843552522
979	0.2841846234
980	0.2840142709
981	0.2838226219
982	0.2836068793
983	0.2834399122
984	0.2832372478
985	0.2830894484
986	0.2829245373
987	0.2827377581
988	0.2825262114
989	0.2823803788
990	0.282229154
991	0.2820635391
992	0.2819143481
993	0.2817495564
994	0.2815918648
995	0.281439723
996	0.2812998381
997	0.2811427379
998	0.2810071177
999	0.2808831123
